smiles,bp_C,BP_K,MW,Name
C,-164,109.15,16.04,methane
CC,-88.6,184.55,30.07,ethane
CCC,-42.1,231.05,44.10,propane
CC(C)C,-11.7,261.45,58.12,2-methylpropane
CCCC,-0.5,272.65,58.12,butane
CC(C)(C)C,9.5,282.65,72.15,"2,2-dimethylpropane"
CCC(C)C,27.8,300.95,72.15,2-methylbutane
CCCCC,36.1,309.25,72.15,pentane
CCC(C)(C)C,49.7,322.85,86.18,"2,2-dimethylbutane"
CC(C)C(C)C,58,331.15,86.18,"2,3-dimethylbutane"
CCCC(C)C,60.3,333.45,86.18,2-methylpentane
CCCCCC,69,342.15,86.18,hexane
CC(C)C(C)(C)C,80.9,354.05,100.20,"2,2,3-trimethylbutane"
CCCC(C)(C)C,79.2,352.35,100.20,"2,2-dimethylpentane"
CCC(C)C(C)C,89.8,362.95,100.20,"2,3-dimethylpentane"
CC(C)CC(C)C,80.5,353.65,100.20,"2,4-dimethylpentane"
CCC(C)(C)CC,86.1,359.25,100.20,"3,3-dimethylpentane"
CCCC(C)CC,92,365.15,100.20,3-methylhexane
CCCCC(C)C,90,363.15,100.21,2-methylhexane
CC(C)(C)C(C)(C)C,106.5,379.65,114.23,"2,2,3,3-tetramethylbutane"
CCC(C)C(C)(C)C,110,383.15,114.23,"2,2,3-trimethylpentane"
CC(C)CC(C)(C)C,99.2,372.35,114.23,"2,2,4-trimethylpentane"
CCCCC(C)(C)C,106.8,379.95,114.23,"2,2-dimethylhexane"
CCC(C)(C)C(C)C,114.7,387.85,114.23,"2,3,3-trimethylpentane"
CC(C)C(C)C(C)C,113.4,386.55,114.23,"2,3,4-trimethylpentane"
CCCC(C)C(C)C,115.6,388.75,114.23,"2,3-dimethylhexane"
CCC(C)CC(C)C,109.4,382.55,114.23,"2,4-dimethylhexane"
CCCC(C)(C)CC,112,385.15,114.23,"3,3-dimethylhexane"
CCC(C)C(C)CC,117.7,390.85,114.23,"3,4-dimethylhexane"
CCCC(C)CCC,118.5,391.65,114.23,4-methylheptane
CCCCCCCC,125.7,398.85,114.23,octane
CC(C)CCC(C)C,109,382.15,114.23,"2,5-dimethylhexane"
CCCCCC(C)C,117.6,390.75,114.23,2-methylheptane
CCCCC(C)CC,118,391.15,114.23,3-methylheptane
CCC(C)(C)C(C)(C)C,140.27,413.42,128.25,"2,2,3,3-tetramethylpentane"
CCCC(C)C(C)(C)C,131.7,404.85,128.25,"2,2,3-trimethylhexane"
CC(C)(C)CC(C)(C)C,122.7,395.85,128.25,"2,2,4,4-tetramethylpentane"
CCC(C)CC(C)(C)C,126.5,399.65,128.25,"2,2,4-trimethylhexane"
CCCCCC(C)(C)C,132.7,405.85,128.25,"2,2-dimethylheptane"
CC(C)C(C)(C)C(C)C,141.5,414.65,128.25,"2,3,3,4-tetramethylpentane"
CCC(C)C(C)C(C)C,139,412.15,128.25,"2,3,4-trimethylhexane"
CC(C)CC(C)C(C)C,131.3,404.45,128.25,"2,3,5-trimethylhexane"
CCCCC(C)C(C)C,140.5,413.65,128.25,"2,3-dimethylheptane"
CCC(C)(C)CC(C)C,126.5,399.65,128.25,"2,4,4-trimethylhexane"
CCCC(C)CC(C)C,133.5,406.65,128.25,"2,4-dimethylheptane"
CCC(C)CCC(C)C,133.8,406.95,128.25,"2,5-dimethylheptane"
CCC(C)C(C)(C)CC,140.5,413.65,128.25,"3,3,4-trimethylhexane"
CCCCC(C)(C)CC,137.3,410.45,128.25,"3,3-dimethylheptane"
CCCC(C)C(C)CC,140.4,413.55,128.25,"3,4-dimethylheptane"
CCC(C)CC(C)CC,136,409.15,128.25,"3,5-dimethylheptane"
CCCCCC(C)CC,143.3,416.45,128.25,3-methyloctane
CCCC(C)(C)CCC,135.2,408.35,128.25,"4,4-dimethylheptane"
CCCCC(C)CCC,141.2,414.35,128.25,4-methyloctane
CCCCCCCCC,151.77,424.92,128.25,nonane
CCCC(C)(C)C(C)C,137.7,410.85,128.26,"2,3,3-trimethylhexane"
CC(C)CCCC(C)C,135.2,408.35,128.26,"2,6-dimethylheptane"
CCCCCCC(C)C,142.8,415.95,128.26,2-methyloctane
CC(C)C(C)(C)C(C)(C)C,166.05,439.2,142.28,"2,2,3,3,4-pentamethylpentane"
CCCC(C)(C)C(C)(C)C,158,431.15,142.28,"2,2,3,3-tetramethylhexane"
CC(C(C)(C)C)C(C)(C)C,159.29,432.44,142.28,"2,2,3,4,4-pentamethylpentane"
CCC(C)C(C)C(C)(C)C,168,441.15,142.28,"2,2,3,4-tetramethylhexane"
CC(C)CC(C)C(C)(C)C,148.4,421.55,142.28,"2,2,3,5-tetramethylhexane"
CCCCC(C)C(C)(C)C,158,431.15,142.28,"2,2,3-trimethylheptane"
CC(C)C(C)CC(C)(C)C,148.2,421.35,142.28,"2,2,4,5-tetramethylhexane"
CCCC(C)CC(C)(C)C,147.7,420.85,142.28,"2,2,4-trimethylheptane"
CC(C)(C)CCC(C)(C)C,137.46,410.61,142.28,"2,2,5,5-tetramethylhexane"
CCC(C)CCC(C)(C)C,148,421.15,142.28,"2,2,5-trimethylheptane"
CC(C)CCCC(C)(C)C,148.2,421.35,142.28,"2,2,6-trimethylheptane"
CCCCCCC(C)(C)C,155,428.15,142.28,"2,2-dimethyloctane"
CCC(C)C(C)(C)C(C)C,164.59,437.74,142.28,"2,3,3,4-tetramethylhexane"
CC(C)CC(C)(C)C(C)C,157.04,430.19,142.28,"2,3,3,5-tetramethylhexane"
CCCCC(C)(C)C(C)C,160.1,433.25,142.28,"2,3,3-trimethylheptane"
CC(C)C(C)C(C)C(C)C,161,434.15,142.28,"2,3,4,5-tetramethylhexane"
CCCC(C)C(C)C(C)C,163,436.15,142.28,"2,3,4-trimethylheptane"
CCC(C)CC(C)C(C)C,157,430.15,142.28,"2,3,5-trimethylheptane"
CC(C)CCC(C)C(C)C,155.7,428.85,142.28,"2,3,6-trimethylheptane"
CCCCCC(C)C(C)C,164.31,437.46,142.28,"2,3-dimethyloctane"
CCCC(C)(C)CC(C)C,163,436.15,142.28,"2,4,4-trimethylheptane"
CC(C)CC(C)CC(C)C,144.8,417.95,142.28,"2,4,6-trimethylheptane"
CCCCC(C)CC(C)C,153,426.15,142.28,"2,4-dimethyloctane"
CCC(C)(C)CCC(C)C,152.8,425.95,142.28,"2,5,5-trimethylheptane"
CCCC(C)CCC(C)C,156.8,429.95,142.28,"2,5-dimethyloctane"
CCC(C)CCCC(C)C,158.84,431.99,142.28,"2,6-dimethyloctane"
CCCCCCCC(C)C,167,440.15,142.28,2-methylnonane
CCC(C)(C)C(C)(C)CC,170.5,443.65,142.28,"3,3,4,4-tetramethylhexane"
CCCC(C)C(C)(C)CC,164,437.15,142.28,"3,3,4-trimethylheptane"
CCC(C)CC(C)(C)CC,155.68,428.83,142.28,"3,3,5-trimethylheptane"
CCCCCC(C)(C)CC,161.2,434.35,142.28,"3,3-dimethyloctane"
CCCC(C)(C)C(C)CC,164,437.15,142.28,"3,4,4-trimethylheptane"
CCCC(C)CC(C)CC,158.3,431.45,142.28,"3,5-dimethyloctane"
CCC(C)CCC(C)CC,160,433.15,142.28,"3,6-dimethyloctane"
CCCCCCC(C)CC,167.8,440.95,142.28,3-methylnonane
CCCCC(C)(C)CCC,157.5,430.65,142.28,"4,4-dimethyloctane"
CCCC(C)C(C)CCC,167,440.15,142.28,"4,5-dimethyloctane"
CCCCCC(C)CCC,165.7,438.85,142.28,4-methylnonane
CCCCCCCCCC,174.12,447.27,142.28,decane
CCC(C)(C)CC(C)(C)C,153.3,426.45,142.29,"2,2,4,4-tetramethylhexane"
CCC(C)(C)C(C)C(C)C,162.2,435.35,142.29,"2,3,4,4-tetramethylhexane"
CCC(C)C(C)CC(C)C,157,430.15,142.29,"2,4,5-trimethylheptane"
CCC(C)C(C)C(C)CC,164,437.15,142.29,"3,4,5-trimethylheptane"
CCCCC(C)C(C)CC,166,439.15,142.29,"3,4-dimethyloctane"
CCCCC(C)CCCC,165.1,438.25,142.29,5-methylnonane
